,Year,Human drivers,Natural drivers,All drivers,Drivers,Environmental impact,Socioeconomic impact,All Impacts,Impacts,Chemical process,Biological process,Physical process,All process,Process,Feedback loop,Total Articles
0,1982,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1987,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
6,1988,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4
7,1989,0,0,0,0,1,0,0,1,0,1,1,0,2,0,3
8,1990,0,0,0,0,11,0,0,11,0,0,1,0,1,0,12
9,1991,0,0,0,0,9,0,0,9,0,0,2,0,2,0,11
10,1992,0,0,0,0,8,0,0,8,1,2,2,0,5,0,11
11,1993,0,0,0,0,13,0,1,14,0,0,0,0,0,0,14
12,1994,0,0,0,0,12,0,1,13,0,0,0,0,0,0,13
13,1995,0,0,0,0,14,0,0,14,0,1,1,0,2,0,14
14,1996,0,0,0,0,12,0,2,14,0,2,1,0,3,0,17
15,1997,0,0,0,0,12,1,0,13,2,2,2,1,7,0,16
16,1998,0,0,1,1,18,2,1,21,4,4,4,1,13,0,26
17,1999,0,0,0,0,14,0,0,14,4,0,5,0,9,0,20
18,2000,0,0,0,0,18,0,1,19,5,1,6,1,13,0,24
19,2001,0,0,0,0,16,0,3,19,3,5,3,1,12,0,24
20,2002,0,0,0,0,21,0,2,23,2,1,1,0,4,0,27
21,2003,0,0,0,0,19,0,1,20,5,3,5,0,13,1,30
22,2004,0,1,0,1,28,2,3,33,4,4,4,0,12,0,42
23,2005,0,0,0,0,26,2,0,28,5,7,6,1,19,0,39
24,2006,0,0,0,0,37,1,1,39,3,5,6,2,16,1,48
25,2007,0,0,0,0,50,3,4,57,9,9,5,1,24,0,66
26,2008,1,1,0,2,37,1,4,42,8,4,13,1,26,0,57
27,2009,1,0,1,2,41,4,3,48,9,9,11,1,30,4,70
28,2010,1,0,0,1,42,2,4,48,3,4,2,0,9,0,54
29,2011,0,0,0,0,52,2,1,55,10,9,9,1,29,0,72
30,2012,2,2,1,5,48,3,10,61,13,7,15,2,37,1,87
31,2013,2,0,1,3,57,4,7,68,6,11,19,2,38,0,96
32,2014,0,2,1,3,53,4,6,63,14,6,13,2,35,2,87
33,2015,4,3,2,9,61,4,8,73,11,9,14,3,37,2,96
34,2016,1,3,3,7,71,5,8,84,6,7,11,0,24,0,104
35,2017,2,2,1,5,64,7,8,79,10,9,12,3,34,1,102
36,2018,2,2,0,4,99,6,13,118,12,10,21,2,45,2,146
37,2019,4,4,3,11,83,4,10,97,10,15,26,3,54,1,139
38,2020,1,1,3,5,83,8,14,105,17,16,17,3,53,0,137
39,2021,3,4,7,14,130,14,15,159,21,24,23,4,72,1,212
40,2022,5,3,7,15,139,9,15,163,21,19,20,5,65,2,209
41,2023,7,5,9,21,154,7,18,179,22,22,27,8,79,2,229
42,2024,11,7,9,27,219,18,19,256,22,29,21,9,81,0,304
43,2025,2,1,1,4,27,1,2,30,2,1,0,0,3,0,35
