Funding Organization,Count
National Natural Science Foundation of China,224
Ministry of Science and Technology of the People's Republic of China,103
European Commission,83
Chinese Academy of Sciences,72
National Key Research and Development Program of China,64
Conselho Nacional de Desenvolvimento Científico e Tecnológico,35
National Science Foundation,29
Fundamental Research Funds for the Central Universities,27
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,24
Natural Environment Research Council,22
UK Research and Innovation,21
Deutscher Akademischer Austauschdienst,18
Fundação para a Ciência e a Tecnologia,18
Horizon 2020 Framework Programme,18
Bundesministerium für Bildung und Forschung,17
Australian Research Council,16
United States Agency for International Development,15
Fundação de Amparo à Pesquisa do Estado de São Paulo,14
National Aeronautics and Space Administration,14
China Postdoctoral Science Foundation,13
Seventh Framework Programme,13
Alexander von Humboldt-Stiftung,11
Department of Education and Training,11
Ministerio de Ciencia e Innovación,11
Ministry of Education of the People's Republic of China,11
Ministério da Educação e Ciência,11
U.S. Geological Survey,11
China Scholarship Council,10
Deutsche Forschungsgemeinschaft,10
Ministerio de Economía y Competitividad,10
Youth Innovation Promotion Association of the Chinese Academy of Sciences,10
European Regional Development Fund,9
National Basic Research Program of China (973 Program),9
National Research Foundation,9
Norges Forskningsråd,9
European Research Council,8
Indian Council of Agricultural Research,8
Japan Society for the Promotion of Science,8
"Ministry of Education, Culture, Sports, Science and Technology",8
University Grants Commission,8
Consortium of International Agricultural Research Centers,7
Economic and Social Research Council,7
Global Environment Facility,7
International Fund for Agricultural Development,7
"Ministero dell’Istruzione, dell’Università e della Ricerca",7
Ministry of Finance,7
Addis Ababa University,6
Consejo Nacional de Investigaciones Científicas y Técnicas,6
Mekelle University,6
National Office for Philosophy and Social Sciences,6
State Key Laboratory of Earth Surface Processes and Resource Ecology,6
U.S. Department of Agriculture,6
Direktion für Entwicklung und Zusammenarbeit,5
Generalitat de Catalunya,5
Horizon 2020,5
King Saud University,5
"Ministry of Science and Technology, Israel",5
U.S. Department of Energy,5
World Bank Group,5
Australian Centre for International Agricultural Research,4
Canadian International Development Agency,4
"Council for Scientific and Industrial Research, South Africa",4
"Department of Science and Technology, Ministry of Science and Technology, India",4
Deutsche Gesellschaft für Internationale Zusammenarbeit,4
Eidgenössisches Departement für Auswärtige Angelegenheiten,4
European Social Fund,4
European Space Agency,4
Instituto Nacional de Tecnología Agropecuaria,4
Israel Science Foundation,4
"Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja",4
"Ministerstvo Školství, Mládeže a Tělovýchovy",4
Ministry of Environment and Forests,4
"Ministério da Ciência, Tecnologia e Ensino Superior",4
NSW Department of Primary Industries,4
National Institute of Food and Agriculture,4
National Research Foundation of Korea,4
Natural Sciences and Engineering Research Council of Canada,4
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,4
"Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii",4
Volkswagen Foundation,4
Agence Nationale de la Recherche,3
Agencia Estatal de Investigación,3
Agencia Nacional de Promoción Científica y Tecnológica,3
Australian Agency for International Development,3
Banaras Hindu University,3
Biotechnology and Biological Sciences Research Council,3
Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,3
Centre National de la Recherche Scientifique,3
Centre de Coopération Internationale en Recherche Agronomique pour le Développement,3
China Knowledge Centre for Engineering Sciences and Technology,3
Comisión Nacional de Investigación Científica y Tecnológica,3
Commonwealth Scientific and Industrial Research Organisation,3
Consejo Nacional de Ciencia y Tecnología,3
